Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.0,1598,103.5,5.0,15039.39,8513.79
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061,64,5.0,0.0,2256.52
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.0,1248,88.5,5.0,13563.51,10526.36
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.1,1198,82,5.0,0.0,5915.74
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.7,2987,254.8,5.0,0.0,34152.72
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.0,1199,73.9,5.0,0.0,6098.7
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.0,796,46.3,5.0,0.0,1524.68
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.0,624,37.5,4.0,0.0,1866.2
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.3,1198,77,6.0,0.0,6806.15
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.0,1197,82.9,5.0,0.0,5781.57
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.6,1999,149.92,5.0,28834.65,10794.7
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.2,1798,138.03,5.0,0.0,12331.57
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.0,1991,112.2,5.0,0.0,5183.9
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.2,2694,163.7,7.0,22735.95,13356.15
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.0,1120,71,5.0,0.0,4696.0
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.5,2498,105,6.0,0.0,6708.57
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.1,1968,174.33,5.0,0.0,26139.03
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.0,1248,74,5.0,0.0,5183.9
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.0,1248,75,5.0,0.0,4025.14
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.0,1248,74,5.0,0.0,4696.0
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.0,1197,82,5.0,0.0,4391.06
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.0,1598,103.2,5.0,0.0,4866.76
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.1,799,53.3,5.0,0.0,4025.14
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.3,1197,78.9,5.0,0.0,2524.86
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.2,1995,147.6,5.0,0.0,9452.98
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.0,998,67.1,5.0,0.0,2744.42
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.6,2393,147.8,8.0,23589.77,20125.71
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399,68,5.0,0.0,3354.28
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.7,1796,186,5.0,0.0,32567.06
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.0,2148,170,5.0,0.0,12197.4
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0,1396,69,5.0,0.0,3049.35
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.5,1968,140,5.0,0.0,16466.49
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.0,1497,78,5.0,0.0,2256.52
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950,194,5.0,59938.02,43508.13
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.5,1248,88.5,7.0,0.0,9940.88
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.0,1396,88.7,5.0,14405.13,12807.27
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.0,4806,500,5.0,0.0,17686.23
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.0,2179,140,7.0,0.0,11770.49
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.9,1197,78.9,5.0,0.0,4244.7
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.6,1461,108.5,5.0,20308.67,8440.6
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.0,1198,86.8,5.0,0.0,7879.52
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.5,1968,187.74,5.0,0.0,35982.33
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.0,1399,0,5.0,0.0,2439.48
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.0,1998,132,8.0,0.0,5488.83
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.0,2494,102,7.0,0.0,14331.94
Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086,0,5.0,0.0,1585.66
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.0,1248,74,5.0,0.0,4574.02
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.5,1193,88.7,5.0,8135.67,5488.83
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5.0,0.0,5879.15
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399,68,5.0,0.0,3415.27
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.0,1248,73.94,5.0,0.0,3793.39
Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.0,1497,117.3,5.0,0.0,3964.16
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.7,1995,218,5.0,0.0,16954.39
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.3,1197,78.9,5.0,0.0,2744.42
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.0,1197,82,5.0,0.0,7013.5
Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086,0,5.0,0.0,2561.45
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.0,1198,86.7,5.0,0.0,6098.7
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982,168.5,7.0,0.0,20125.71
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.6,1968,174.33,5.0,0.0,48277.31
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.0,1498,89.84,5.0,0.0,6708.57
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.0,2179,140,7.0,0.0,9879.89
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.0,1498,98.6,5.0,0.0,4269.09
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.0,1199,73.9,5.0,0.0,3403.07
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.0,1493,110,5.0,0.0,4208.1
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.0,998,67.1,5.0,0.0,5427.84
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.2,1598,103.5,5.0,0.0,3232.31
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0,1396,90,5.0,0.0,4635.01
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.0,1197,82.85,5.0,0.0,5671.79
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.8,1198,67,7.0,7867.32,4817.97
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.9,2967,241.4,5.0,0.0,11953.45
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0,1197,80,5.0,0.0,3293.3
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796,35,5.0,0.0,2939.57
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.7,1197,78.9,5.0,7818.53,4756.99
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.7,2993,270.9,5.0,0.0,29273.76
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179,140,7.0,0.0,7013.5
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.3,1582,126.32,5.0,0.0,6403.64
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.3,2755,171.5,7.0,32932.98,23480.0
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.0,1196,73,5.0,6257.27,4769.18
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.0,624,37.5,4.0,0.0,2622.44
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.6,1995,190,5.0,66390.45,25309.6
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.0,1799,130,5.0,0.0,4086.13
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.9,2494,100.6,7.0,0.0,13551.31
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.0,1984,150,5.0,0.0,24394.8
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.1,1198,75.94,5.0,11599.73,7989.3
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.0,2497,215,5.0,0.0,8538.18
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.0,1248,88.5,5.0,12148.61,9148.05
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086,0,5.0,0.0,1036.78
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5.0,0.0,20430.64
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5.0,17613.05,13356.15
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.0,998,67.1,5.0,0.0,2988.36
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.0,624,37.48,4.0,0.0,3939.76
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.0,2179,120,8.0,0.0,9452.98
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.0,1796,178,5.0,0.0,11404.57
Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,37.24,998,58.16,5.0,0.0,3964.16
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.0,2354,152,5.0,0.0,6403.64
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.2,1498,103.2,5.0,0.0,8843.12
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.7,1373,91.1,5.0,0.0,9111.46
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179,140,7.0,0.0,16161.56
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.0,1197,85.80,5.0,0.0,7086.69
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.0,998,67.1,5.0,5525.42,3171.32
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2.0,115924.09,65865.96
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5.0,16454.29,14027.01
Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.0,796,46.3,5.0,0.0,1951.58
BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.5,1995,143,5.0,0.0,21003.92
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5.0,0.0,7318.44
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.0,1799,130,5.0,0.0,4817.97
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.2,2143,170,5.0,0.0,21894.33
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.0,1498,98.6,5.0,0.0,4513.04
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0,1197,81.80,5.0,0.0,6623.19
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,17.0,1086,0,5.0,0.0,2036.97
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.0,2982,171,7.0,0.0,16454.29
Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.0,1199,76.8,5.0,0.0,3476.26
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.1,1498,103.52,5.0,0.0,5793.76
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.7,1373,91.1,5.0,0.0,12075.43
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.0,2894,444,4.0,1561.27,45130.38
BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.7,1995,190,5.0,74257.77,32323.11
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.1,1968,174.33,5.0,0.0,28444.34
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.0,1248,74,5.0,0.0,7623.38
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,7.8,5461,362.9,5.0,0.0,36592.2
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.6,1498,103.52,5.0,0.0,12026.64
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,17.0,1968,138.1,5.0,0.0,10367.79
Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.0,814,55.2,5.0,0.0,5159.5
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.0,1199,73.9,5.0,0.0,4269.09
Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.6,1198,67.06,5.0,0.0,3049.35
Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.0,1198,86.8,5.0,0.0,2915.18
Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,14.0,1595,120.7,5.0,0.0,13722.08
Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5.0,0.0,8672.35
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.9,2494,100.6,7.0,0.0,13295.17
Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.0,1197,81.80,5.0,0.0,7562.39
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,15.0,2179,140,7.0,0.0,9635.95
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,22.0,1498,89.84,5.0,0.0,5391.25
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982,168.5,7.0,0.0,16466.49
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,21.0,1498,108.5,5.0,0.0,7623.38
Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399,68,5.0,0.0,2561.45
BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,15.0,2993,258,5.0,0.0,54888.3
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,Automatic,First,19.2,2143,167.62,5.0,0.0,41056.45
Honda Brio V MT,Bangalore,2012,45000,Petrol,Manual,Second,19.0,1198,86.8,5.0,0.0,4452.05
Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,First,20.3,1197,78.9,5.0,0.0,3354.28
Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.0,2143,170,5.0,0.0,51838.95
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,18.0,1197,81.86,5.0,9013.88,7928.31
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Diesel,Automatic,Second,17.6,1968,174.33,5.0,0.0,23175.06
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Petrol,Automatic,Second,14.0,1598,103.6,5.0,0.0,5427.84
Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,Automatic,Second,16.0,1998,112,5.0,0.0,28054.02
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,22.5,1396,88.73,5.0,0.0,10184.83
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,Diesel,Automatic,First,17.6,1968,174.33,5.0,0.0,27993.03
Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,25.4,936,57.6,5.0,0.0,1829.61
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,Petrol,Automatic,First,13.0,1798,157.75,5.0,0.0,8404.01
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,Second,17.0,1399,68,5.0,0.0,1768.62
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.4,1995,190,5.0,84735.34,40861.29
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,Petrol,Manual,First,12.0,1598,102.5,5.0,0.0,1524.68
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.0,1199,73.9,5.0,0.0,5122.91
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,Diesel,Manual,First,19.9,1461,108.5,8.0,0.0,8233.25
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5.0,0.0,39031.68
Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.0,1197,83.1,5.0,10709.32,9148.05
Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,Manual,First,22.3,1582,126.32,5.0,0.0,5610.8
Hyundai i10 Magna 1.1,Kochi,2017,52340,Petrol,Manual,First,19.8,1086,68.05,5.0,0.0,4927.75
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,Diesel,Manual,First,15.0,1997,120,7.0,0.0,12575.52
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,Diesel,Automatic,First,12.0,2179,187.7,5.0,0.0,68012.7
Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20.0,1399,68,5.0,0.0,3171.32
Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.4,1248,88.50,7.0,15539.49,10367.79
Honda City 1.5 GXI,Ahmedabad,2007,60006,Petrol,Manual,First,0.0,0,0,0.0,0.0,3598.23
Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,25.0,1498,98.6,5.0,0.0,4269.09
Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.3,1197,78.9,5.0,0.0,4330.08
Honda Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,First,25.0,1498,98.6,5.0,0.0,3964.16
Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,17.0,1896,106,5.0,0.0,5488.83
Renault Duster 85PS Diesel RxL,Delhi,2014,90000,Diesel,Manual,First,19.8,1461,83.8,5.0,0.0,6525.61
Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.4,1493,100,7.0,12831.66,7928.31
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.0,1248,88.5,5.0,14612.49,10977.66
Hyundai i20 Asta Option 1.2,Kochi,2016,61012,Petrol,Manual,First,18.0,1197,81.83,5.0,0.0,7318.44
Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,Petrol,Manual,First,14.0,1390,85,5.0,0.0,3354.28
Tata Indigo eCS GLX,Pune,2010,70500,Petrol,Manual,First,15.6,1193,64.1,5.0,0.0,1829.61
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,Diesel,Automatic,First,15.7,1968,174.33,5.0,0.0,24272.83
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,Petrol,Automatic,First,14.0,1798,177.5,5.0,0.0,12197.4
Toyota Etios Liva GD SP,Delhi,2014,104000,Diesel,Manual,First,23.5,1364,67.06,5.0,0.0,3659.22
Maruti Swift 1.3 VXi,Kolkata,2010,42001,Petrol,Manual,First,16.0,0,0,0.0,0.0,2573.65
Mercedes-Benz B Class B180,Kochi,2014,37245,Petrol,Automatic,First,14.0,1595,120.7,5.0,0.0,14588.09
Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.0,1498,98.6,5.0,10416.58,3964.16
Hyundai Verna 1.6 SX,Jaipur,2012,117837,Diesel,Manual,Second,22.3,1582,126.32,5.0,0.0,5793.76
Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,Diesel,Manual,First,20.4,1461,83.8,5.0,0.0,7257.45
Hyundai Creta 1.6 VTVT S,Delhi,2015,27057,Petrol,Manual,Second,15.2,1591,121.3,5.0,0.0,9940.88
